gold_label	sentence1	sentence2
Invalidate	Three men are jumping hurdles in a race.	A man holding his national flag  standing in front of digital clock and showing thumbs up
Support	Three men are jumping hurdles in a race.	Three men have great start in the race it is going to be tough fight
Neutral	Three men are jumping hurdles in a race.	Hurdle race is tough it needs coordination between jump and run
Invalidate	Singer performing on stage with acoustics	Singer is signing autographs.
Support	Singer performing on stage with acoustics	The crowd is interacting with the singer.
Neutral	Singer performing on stage with acoustics	Singers can increase their fan base by performing on stage regularly.
Invalidate	Two men are standing on the rocks in a waterfall.	One of them jumped into the water.
Support	Two men are standing on the rocks in a waterfall.	The stream is really strong. Better those folks pay attention.
Neutral	Two men are standing on the rocks in a waterfall.	I love the sound of flowing water on a beautiful day.
Invalidate	A group of girls practicing dance moves on a gymnasium court	They are going to reach home
Support	A group of girls practicing dance moves on a gymnasium court	They feel some discomfort in engaging a series of rythmic works with background music due to the congested physical training area.
Neutral	A group of girls practicing dance moves on a gymnasium court	Performing the steps and gestures which resembles the behaviour patterns of the birds and animals will attract all kinds of audiences.
Invalidate	A man at the beach playing with a child.	He puts the child to bed and wishes him good night.
Support	A man at the beach playing with a child.	He puts the child on his back and swims around pretending to be a fish.
Neutral	A man at the beach playing with a child.	It's fun to go to the beach and bond with family and friends.
Invalidate	A guy on a motorcycle lays back with his feet up over the handlebars, high in the gray sky.	He prepares himself for what he know would be a rough landing.
Support	A guy on a motorcycle lays back with his feet up over the handlebars, high in the gray sky.	He is taking picture of his feet.
Neutral	A guy on a motorcycle lays back with his feet up over the handlebars, high in the gray sky.	You should always wear a helmet when biking.
Invalidate	The surfer is riding a wave.	The surfer gets some food at the snack bar.
Support	The surfer is riding a wave.	The surfer tries to stay upright as long as possible.
Neutral	The surfer is riding a wave.	Most people enjoy surfing at the beach.
Invalidate	Two dogs waiting for their owners to finish shopping.	two dog walking with their owner.
Support	Two dogs waiting for their owners to finish shopping.	at time of shopping people leave their pet for waiting.
Neutral	Two dogs waiting for their owners to finish shopping.	dog are the the animal can go with owner
Invalidate	An old man with a cigarette hanging out of his mouth standing in front of a fryer while holding a carton of cooking oil.	The man get contacted by the State Health Services.
Support	An old man with a cigarette hanging out of his mouth standing in front of a fryer while holding a carton of cooking oil.	The fast food restaurant is shut down for insanitary conditions.
Neutral	An old man with a cigarette hanging out of his mouth standing in front of a fryer while holding a carton of cooking oil.	The oil  chips are frying but the oil is not hot enough and they will end up oily.
Invalidate	A group of guys on the beach.	The guys are swimming in the sea nearby beach.
Support	A group of guys on the beach.	Guys are taking rest in the beach.
Neutral	A group of guys on the beach.	Guys like spending their time on the beach.
Invalidate	A woman in a multicolored top is walking down the street and holding a black purse while talking on her phone.	The woman arrives at the office
Support	A woman in a multicolored top is walking down the street and holding a black purse while talking on her phone.	A women while crossing the road hasn't seen the Car coming towards her.
Neutral	A woman in a multicolored top is walking down the street and holding a black purse while talking on her phone.	Pedestrian should not use Cellphones for safety reasons.
Invalidate	Two brown dogs play in shallow water	The dogs eat food from their bowls.
Support	Two brown dogs play in shallow water	The dogs splash around a lot.
Neutral	Two brown dogs play in shallow water	Most dogs like to play in water.
Invalidate	a couple riding a bike	A couple searching for lift after there bike got breakdown
Support	a couple riding a bike	Side Bag fall down form the bike. While making a turn
Neutral	a couple riding a bike	These days people drive there bikes harshly. Which leads to accident
Invalidate	A lady in swimwear playing volleyball at the beach.	The lady is swimming in the sea
Support	A lady in swimwear playing volleyball at the beach.	she is the best volleyball player in her team
Neutral	A lady in swimwear playing volleyball at the beach.	Volleyball is a very fun game to play while at the beach
Invalidate	Three soccer players in black and white and a player in red take a break on the field.	All of the players on the field are chasing the ball back and forth as they try to score for their teams.
Support	Three soccer players in black and white and a player in red take a break on the field.	The referees who were conversing to one side 
Neutral	Three soccer players in black and white and a player in red take a break on the field.	Soccer is known as 'Football' in most of the world.
Invalidate	The student appears sullen as a man helps her position her sash.	she seems to be pleased now
Support	The student appears sullen as a man helps her position her sash.	his help made her realized that there are still unpleasant people in the world
Neutral	The student appears sullen as a man helps her position her sash.	she then know she can pass on her share of help
Invalidate	A group of people stand on a dock watching a boat.	Everyone has returned to their homes for the night.
Support	A group of people stand on a dock watching a boat.	The boat is waiting for people
Neutral	A group of people stand on a dock watching a boat.	A group of women are performing on a basketball court floor.
